Time,NodeName,Port,QueueIndex,Length
+1.3e+07ns,host1,1,0,0
+1.3e+07ns,host1,2,0,2
+1.3e+07ns,host2,0,0,0
+1.3e+07ns,host2,1,0,0
+1.3e+07ns,host2,2,0,0
+1.3e+07ns,host2,3,0,2
+1.3e+07ns,host3,0,0,0
+1.3e+07ns,host3,1,0,3
+1.3e+07ns,host3,2,0,0
+1.3e+07ns,host4,0,0,2
+1.3e+07ns,host4,1,0,0
+1.4e+07ns,host0,0,0,2
+1.4e+07ns,host0,1,0,0
+1.4e+07ns,host1,0,0,0
+1.4e+07ns,host1,1,0,0
+1.4e+07ns,host1,2,0,2
+1.4e+07ns,host2,0,0,0
+1.4e+07ns,host2,1,0,0
+1.4e+07ns,host2,2,0,0
+1.4e+07ns,host2,3,0,2
+1.4e+07ns,host3,0,0,0
+1.4e+07ns,host3,1,0,3
+1.4e+07ns,host3,2,0,0
+1.4e+07ns,host4,0,0,2
+1.4e+07ns,host4,1,0,0
+1.5e+07ns,host0,0,0,2
+1.5e+07ns,host0,1,0,0
+1.5e+07ns,host1,0,0,0
+1.5e+07ns,host1,1,0,0
+1.5e+07ns,host1,2,0,2
+1.5e+07ns,host2,0,0,0
+1.5e+07ns,host2,1,0,0
+1.5e+07ns,host2,2,0,0
+1.5e+07ns,host2,3,0,2
+1.5e+07ns,host3,0,0,0
+1.5e+07ns,host3,1,0,3
+1.5e+07ns,host3,2,0,0
+1.5e+07ns,host4,0,0,2
+1.5e+07ns,host4,1,0,0
+1.6e+07ns,host0,0,0,2
+1.6e+07ns,host0,1,0,0
+1.6e+07ns,host1,0,0,0
+1.6e+07ns,host1,1,0,0
+1.6e+07ns,host1,2,0,2
+1.6e+07ns,host2,0,0,0
+1.6e+07ns,host2,1,0,0
+1.6e+07ns,host2,2,0,0
+1.6e+07ns,host2,3,0,2
+1.6e+07ns,host3,0,0,0
+1.6e+07ns,host3,1,0,3
+1.6e+07ns,host3,2,0,0
+1.6e+07ns,host4,0,0,2
+1.6e+07ns,host4,1,0,0
+1.7e+07ns,host0,0,0,2
+1.7e+07ns,host0,1,0,0
+1.7e+07ns,host1,0,0,0
+1.7e+07ns,host1,1,0,0
+1.7e+07ns,host1,2,0,2
+1.7e+07ns,host2,0,0,0
+1.7e+07ns,host2,1,0,0
+1.7e+07ns,host2,2,0,0
+1.7e+07ns,host2,3,0,2
+1.7e+07ns,host3,0,0,0
+1.7e+07ns,host3,1,0,3
+1.7e+07ns,host3,2,0,0
+1.7e+07ns,host4,0,0,2
+1.7e+07ns,host4,1,0,0
+1.8e+07ns,host0,0,0,2
+1.8e+07ns,host0,1,0,0
+1.8e+07ns,host1,0,0,0
+1.8e+07ns,host1,1,0,0
+1.8e+07ns,host1,2,0,2
+1.8e+07ns,host2,0,0,0
+1.8e+07ns,host2,1,0,0
+1.8e+07ns,host2,2,0,0
+1.8e+07ns,host2,3,0,2
+1.8e+07ns,host3,0,0,0
+1.8e+07ns,host3,1,0,3
+1.8e+07ns,host3,2,0,0
+1.8e+07ns,host4,0,0,2
+1.8e+07ns,host4,1,0,0
+1.9e+07ns,host0,0,0,2
+1.9e+07ns,host0,1,0,0
+1.9e+07ns,host1,0,0,0
+1.9e+07ns,host1,1,0,0
+1.9e+07ns,host1,2,0,2
+1.9e+07ns,host2,0,0,0
+1.9e+07ns,host2,1,0,0
+1.9e+07ns,host2,2,0,0
+1.9e+07ns,host2,3,0,2
+1.9e+07ns,host3,0,0,0
+1.9e+07ns,host3,1,0,3
+1.9e+07ns,host3,2,0,0
+1.9e+07ns,host4,0,0,2
+1.9e+07ns,host4,1,0,0
+2e+07ns,host0,0,0,4
+2e+07ns,host0,1,0,0
+2e+07ns,host1,0,0,0
+2e+07ns,host1,1,0,0
+2e+07ns,host1,2,0,4
+2e+07ns,host2,0,0,0
+2e+07ns,host2,1,0,0
+2e+07ns,host2,2,0,0
+2e+07ns,host2,3,0,4
+2e+07ns,host3,0,0,0
+2e+07ns,host3,1,0,5
+2e+07ns,host3,2,0,0
+2e+07ns,host4,0,0,4
+2e+07ns,host4,1,0,0
+2.1e+07ns,host0,0,0,4
+2.1e+07ns,host0,1,0,0
+2.1e+07ns,host1,0,0,0
+2.1e+07ns,host1,1,0,0
+2.1e+07ns,host1,2,0,4
+2.1e+07ns,host2,0,0,0
+2.1e+07ns,host2,1,0,0
+2.1e+07ns,host2,2,0,0
+2.1e+07ns,host2,3,0,4
+2.1e+07ns,host3,0,0,0
+2.1e+07ns,host3,1,0,5
+2.1e+07ns,host3,2,0,0
+2.1e+07ns,host4,0,0,4
+2.1e+07ns,host4,1,0,0
+2.2e+07ns,host0,0,0,4
+2.2e+07ns,host0,1,0,0
+2.2e+07ns,host1,0,0,0
+2.2e+07ns,host1,1,0,0
+2.2e+07ns,host1,2,0,4
+2.2e+07ns,host2,0,0,0
+2.2e+07ns,host2,1,0,0
+2.2e+07ns,host2,2,0,0
+2.2e+07ns,host2,3,0,4
+2.2e+07ns,host3,0,0,0
+2.2e+07ns,host3,1,0,5
+2.2e+07ns,host3,2,0,0
+2.2e+07ns,host4,0,0,4
+2.2e+07ns,host4,1,0,0
+2.3e+07ns,host0,0,0,4
+2.3e+07ns,host0,1,0,0
+2.3e+07ns,host1,0,0,0
+2.3e+07ns,host1,1,0,0
